nome,qtd_filamento,tempo,cor,preco_kg
Dispenser personalizado,180,8.7,Cinza,130
Boneco decorativo,140,1.4,Bege,141
Puxador decorativo,146,6.8,Transparente,116
Escultura infantil,53,2.6,Azul,134
Escultura decorativo,31,8.6,Marrom,133
Porta de mesa,174,2.8,Prata,145
Encaixe personalizado,22,5.2,Marrom,112
Boneco 3D,161,5.6,Amarelo,173
Encaixe de mesa,178,5.5,Rosa,113
Miniatura infantil,156,8.2,Colorido,159
Porta decorativo,27,1.9,Amarelo,156
Miniatura infantil,171,6.4,Dourado,159
Puxador decorativo,25,4.9,Bronze,168
Encaixe decorativo,132,5.0,Vermelho,180
Caixa personalizado,130,6.9,Vermelho,151
Cachepô infantil,111,7.2,Marrom,159
Estatueta 3D,58,3.4,Laranja,138
Cachepô infantil,72,7.0,Cinza,112
Escultura decorativo,60,8.6,Transparente,110
Porta portátil,150,7.2,Marrom,116
Torre de mesa,57,8.4,Transparente,165
Suporte de mesa,109,8.4,Bege,179
Estatueta 3D,75,1.9,Azul,168
Luminária personalizado,50,2.8,Preto,132
Boneco portátil,169,3.3,Bege,158
Organizador 3D,149,1.7,Prata,119
Puxador personalizado,28,6.4,Colorido,164
Organizador portátil,122,6.3,Rosa,134
Base portátil,106,5.9,Verde,132
Miniatura personalizado,84,8.1,Laranja,129
Organizador de mesa,120,1.8,Cinza,155
Escultura decorativo,131,1.6,Cinza,166
Encaixe portátil,51,3.5,Colorido,154
Caixa 3D,93,8.0,Bronze,155
Miniatura decorativo,95,3.4,Madeira,157
Suporte 3D,48,1.0,Azul,116
Estatueta personalizado,39,5.6,Madeira,116
Suporte portátil,60,7.2,Branco,168
Suporte portátil,113,7.7,Vermelho,175
Cachepô 3D,71,1.2,Marrom,124
Caixa 3D,64,6.1,Prata,173
Dispenser de mesa,132,2.3,Preto,175
Escultura decorativo,66,6.1,Branco,166
Boneco infantil,146,6.9,Cinza,139
Organizador personalizado,55,5.2,Vermelho,164
Base portátil,78,4.1,Transparente,113
Porta portátil,41,1.7,Azul,131
Estatueta personalizado,23,8.5,Verde,128
Capa decorativo,28,5.6,Laranja,128
Porta infantil,118,1.1,Bronze,136
Estatueta personalizado,41,8.2,Amarelo,167
Caixa portátil,91,2.4,Dourado,175
Chaveiro portátil,163,6.0,Rosa,138
Porta infantil,53,4.8,Laranja,172
Boneco decorativo,37,6.7,Cinza,149
Encaixe decorativo,44,2.8,Branco,174
Torre de mesa,135,6.6,Madeira,140
Puxador infantil,170,1.8,Preto,175
Capa personalizado,46,2.1,Transparente,173
Base de mesa,165,2.1,Preto,152
Miniatura 3D,130,8.3,Rosa,131
Escultura personalizado,87,2.9,Vermelho,139
Suporte infantil,166,5.7,Branco,165
Estatueta 3D,78,4.8,Amarelo,144
Base infantil,158,8.7,Azul,127
Porta de mesa,157,6.6,Preto,111
Boneco personalizado,126,4.1,Preto,148
Encaixe 3D,154,5.5,Bege,141
Porta portátil,81,6.2,Prata,119
Torre personalizado,172,5.3,Prata,142
Caixa 3D,41,2.2,Amarelo,121
Chaveiro personalizado,115,3.1,Branco,165
Cachepô portátil,85,2.5,Transparente,174
Encaixe 3D,28,1.8,Bege,146
Luminária infantil,140,6.0,Cinza,118
Boneco personalizado,153,2.1,Bronze,142
Luminária personalizado,28,2.5,Madeira,168
Boneco de mesa,22,3.9,Branco,165
Chaveiro personalizado,132,8.3,Amarelo,134
Encaixe personalizado,94,8.4,Transparente,126
Base decorativo,97,4.7,Rosa,128
Porta portátil,109,7.8,Laranja,170
Puxador decorativo,93,6.1,Transparente,162
Capa decorativo,28,1.5,Prata,162
Caixa infantil,101,2.7,Rosa,179
Boneco decorativo,112,6.8,Bege,161
Organizador portátil,23,1.1,Rosa,133
Puxador de mesa,30,4.7,Madeira,175
Capa portátil,105,8.4,Azul,130
Encaixe portátil,112,8.7,Marrom,123
Porta infantil,43,4.3,Marrom,171
Capa decorativo,50,6.1,Colorido,170
Puxador de mesa,104,6.0,Branco,165
Boneco 3D,112,1.1,Transparente,151
Escultura personalizado,77,3.4,Verde,172
Luminária personalizado,21,4.9,Prata,125
Dispenser infantil,149,1.3,Cinza,130
Organizador infantil,58,1.7,Laranja,110
Estatueta de mesa,67,6.8,Amarelo,120
Caixa decorativo,160,2.3,Dourado,133
Dispenser de mesa,78,5.6,Cinza,179
Caixa 3D,47,2.6,Branco,178
Caixa infantil,179,2.1,Laranja,142
Luminária de mesa,25,8.0,Prata,115
Organizador portátil,174,6.2,Verde,160
Chaveiro de mesa,34,7.2,Vermelho,157
Miniatura decorativo,20,7.8,Cinza,110
Encaixe 3D,179,7.7,Verde,149
Miniatura decorativo,158,6.3,Amarelo,123
Escultura portátil,135,5.4,Rosa,173
Luminária de mesa,142,3.5,Marrom,125
Capa portátil,46,2.9,Amarelo,116
Caixa 3D,28,1.2,Verde,173
